"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"15.12.2022","17.672,1","17.796,4","17.846,1","17.600,0","323,83K","-0,70%"
"14.12.2022","17.796,4","17.778,6","18.351,8","17.682,1","318,98K","0,10%"
"13.12.2022","17.778,6","17.210,9","17.951,6","17.094,5","328,71K","3,30%"
"12.12.2022","17.210,4","17.093,2","17.232,5","16.878,5","249,39K","0,68%"
"11.12.2022","17.093,3","17.127,0","17.262,9","17.080,6","167,20K","-0,20%"
"10.12.2022","17.127,2","17.125,7","17.220,5","17.105,7","148,81K","0,01%"
"09.12.2022","17.125,7","17.225,6","17.288,6","17.082,1","260,84K","-0,58%"
"08.12.2022","17.225,7","16.835,2","17.294,2","16.765,8","261,64K","2,32%"
"07.12.2022","16.835,2","17.089,4","17.126,7","16.715,3","244,36K","-1,49%"
"06.12.2022","17.089,3","16.966,3","17.101,1","16.914,9","246,19K","0,72%"
"05.12.2022","16.966,5","17.106,9","17.395,2","16.886,9","268,72K","-0,85%"
"04.12.2022","17.112,6","16.884,8","17.198,1","16.881,6","197,12K","1,35%"
"03.12.2022","16.884,5","17.093,4","17.132,6","16.862,1","169,29K","-1,22%"
"02.12.2022","17.093,6","16.972,2","17.096,2","16.799,9","227,01K","0,72%"
"01.12.2022","16.972,0","17.163,4","17.244,7","16.868,9","266,14K","-1,12%"
"30.11.2022","17.163,9","16.440,8","17.215,5","16.433,2","348,22K","4,40%"
"29.11.2022","16.440,4","16.211,9","16.531,4","16.100,1","271,58K","1,41%"
"28.11.2022","16.211,7","16.426,1","16.481,4","16.013,5","284,84K","-1,30%"
"27.11.2022","16.425,6","16.456,4","16.595,4","16.414,6","173,25K","-0,19%"
"26.11.2022","16.456,5","16.512,3","16.686,3","16.387,9","194,94K","-0,34%"
"25.11.2022","16.512,3","16.600,6","16.611,8","16.360,9","204,07K","-0,54%"
"24.11.2022","16.601,2","16.604,9","16.785,6","16.472,0","229,59K","-0,14%"
"23.11.2022","16.623,9","16.216,9","16.677,6","16.162,3","305,08K","2,53%"
"22.11.2022","16.212,9","15.776,6","16.274,6","15.620,4","287,21K","2,77%"
"21.11.2022","15.776,2","16.278,6","16.287,9","15.504,2","372,15K","-3,13%"
"20.11.2022","16.286,7","16.699,3","16.749,3","16.209,2","172,83K","-2,47%"
"19.11.2022","16.699,2","16.652,2","16.814,9","16.608,9","114,89K","0,37%"
"18.11.2022","16.638,3","16.715,4","16.846,3","16.553,0","241,96K","-0,32%"
"17.11.2022","16.691,2","16.540,5","16.739,7","16.425,8","257,00K","0,91%"
"16.11.2022","16.540,5","16.895,4","16.993,4","16.408,2","295,73K","-2,10%"
"15.11.2022","16.895,1","16.615,0","17.112,0","16.543,9","337,15K","1,69%"
"14.11.2022","16.613,7","16.325,0","17.158,4","15.834,0","442,46K","1,77%"
"13.11.2022","16.324,5","16.803,9","16.946,5","16.274,9","210,80K","-2,80%"
"12.11.2022","16.795,2","17.049,9","17.100,8","16.633,9","192,91K","-1,49%"
"11.11.2022","17.049,9","17.589,1","17.679,4","16.435,5","466,35K","-3,07%"
"10.11.2022","17.589,1","15.887,0","18.138,2","15.799,3","720,74K","10,71%"
"09.11.2022","15.886,9","18.538,9","18.583,8","15.603,3","869,57K","-14,25%"
"08.11.2022","18.527,4","20.589,0","20.667,5","17.260,0","865,10K","-10,01%"
"07.11.2022","20.589,0","20.916,3","21.055,4","20.410,5","414,24K","-1,56%"
