"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"30.12.2022","18,6883","18,7097","18,8008","18,5996","","-0,03%"
"29.12.2022","18,6941","18,7185","18,8044","18,6116","","-0,12%"
"28.12.2022","18,7157","18,7020","18,8111","18,5680","","0,26%"
"27.12.2022","18,6669","18,6855","18,8229","18,5690","","0,03%"
"26.12.2022","18,6618","18,6622","18,7917","18,5413","","-0,01%"
"23.12.2022","18,6637","18,6653","18,7838","18,5655","","0,11%"
"22.12.2022","18,6424","18,6570","18,7665","18,5611","","-0,17%"
"21.12.2022","18,6749","18,6621","18,7715","18,5555","","0,14%"
"20.12.2022","18,6479","18,6527","18,7523","18,5540","","0,03%"
"19.12.2022","18,6426","18,6380","18,7441","18,5542","","0,04%"
"16.12.2022","18,6343","18,6397","18,7460","18,5420","","-0,01%"
"15.12.2022","18,6368","18,6280","18,7416","18,5012","","0,07%"
"14.12.2022","18,6232","18,6197","18,7304","18,4955","","0,26%"
"13.12.2022","18,5750","18,6399","18,7658","18,4940","","-0,31%"
"12.12.2022","18,6325","18,6479","18,7409","18,5245","","-0,10%"
"09.12.2022","18,6503","18,6423","18,7409","18,5390","","0,10%"
"08.12.2022","18,6324","18,6414","18,7321","18,5352","","-0,02%"
"07.12.2022","18,6355","18,6322","18,7265","18,5306","","0,06%"
"06.12.2022","18,6240","18,6446","18,7261","18,5271","","0,01%"
"05.12.2022","18,6227","18,6344","18,7593","18,5301","","-0,04%"
"02.12.2022","18,6303","18,6376","18,7444","18,5380","","-0,01%"
"01.12.2022","18,6313","18,6126","18,7341","18,5185","","0,22%"
"30.11.2022","18,5895","18,6387","18,7360","18,5242","","-0,26%"
"29.11.2022","18,6374","18,6306","18,7444","18,5103","","0,11%"
"28.11.2022","18,6166","18,5930","18,7174","18,5025","","0,17%"
"25.11.2022","18,5851","18,6098","18,7223","18,5163","","-0,07%"
"24.11.2022","18,5986","18,6172","18,7202","18,5118","","-0,04%"
"23.11.2022","18,6062","18,6133","18,7113","18,5103","","-0,01%"
"22.11.2022","18,6081","18,6213","18,7201","18,5105","","-0,02%"
"21.11.2022","18,6118","18,6223","18,7105","18,4883","","0,12%"
"18.11.2022","18,5889","18,5879","18,7065","18,4980","","0,16%"
"17.11.2022","18,5599","18,6105","18,7005","18,4860","","-0,17%"
"16.11.2022","18,5920","18,6112","18,7106","18,4985","","-0,05%"
"15.11.2022","18,6020","18,6192","18,7003","18,4899","","0,09%"
"14.11.2022","18,5846","18,5631","18,6933","18,4328","","0,08%"
"11.11.2022","18,5705","18,4889","18,6675","18,3850","","0,49%"
"10.11.2022","18,4798","18,5910","18,7185","18,4219","","-0,57%"
"09.11.2022","18,5857","18,5361","18,6926","18,4490","","0,31%"
"08.11.2022","18,5284","18,4452","18,6810","18,3814","","0,46%"
"07.11.2022","18,4431","18,5681","18,6980","18,4070","","-0,66%"
"04.11.2022","18,5657","18,6175","18,7242","18,4721","","-0,26%"
"03.11.2022","18,6144","18,6290","18,7115","18,5182","","-0,04%"
"02.11.2022","18,6219","18,5833","18,7135","18,4958","","0,30%"
